name_hotel,url_hotel,adress_hotel,price_hotel,position_by_city_hotel,city_hotel,country_hotel,localisation_hotel,global_rate_hotel,category_hotel,style_hotel,equipments_hotel
Hôtel Barrière Le Normandy Deauville,https://www.tripadvisor.fr/Hotel_Review-g187184-d198204-Reviews-Hotel_Barriere_Le_Normandy_Deauville-Deauville_City_Calvados_Basse_Normandie_Normandy.html,"38 rue Jean Mermoz, 14804 Ville de Deauville France",377,8 sur 22,Ville de Deauville  ,France  ,Europe||France||Normandie||Basse-Normandie||Calvados||Ville de Deauville,4.0,5.0,Au centre-ville||Vue sur la baie,Parking||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Casino et jeux d'argent||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Wi-Fi||Piscine intérieure||Piscine chauffée||Vestiaires du spa/centre de remise en forme||Sauna||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Clubs pour enfants||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Navette aéroport||Salles de conférence||Salle de réception||Salles de réunion||Spa||Soins du visage||Hammam||Massage||Bain de vapeur||Concierge||Hôtel non-fumeurs||Service de majordome||Nettoyage à sec||Service de blanchisserie||Service de repassage||Climatisation||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Minibar||Réfrigérateur||Télévision à écran plat||Vue sur l'océan||Chambres non-fumeurs||Suites||Chambres familiales||Parking||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Casino et jeux d'argent||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Wi-Fi||Piscine intérieure||Piscine chauffée||Vestiaires du spa/centre de remise en forme||Sauna||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Clubs pour enfants||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Navette aéroport||Salles de conférence||Salle de réception||Salles de réunion||Spa||Soins du visage||Hammam||Massage||Bain de vapeur||Concierge||Hôtel non-fumeurs||Service de majordome||Nettoyage à sec||Service de blanchisserie||Service de repassage||Climatisation||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Minibar||Réfrigérateur||Télévision à écran plat||Vue sur l'océan||Chambres non-fumeurs||Suites||Chambres familiales
Hotel Akelarre,https://www.tripadvisor.fr/Hotel_Review-g187457-d12285707-Reviews-Hotel_Akelarre-San_Sebastian_Donostia_Province_of_Guipuzcoa_Basque_Country.html,"Paseo Padre Orcolaga 56 Monte Igueldo, 20008 Saint-Sébastien Espagne",383,13 sur 65,Saint-Sébastien  ,Espagne  ,Europe||Espagne||Pays Basque||Province de Guipuscoa||Saint-Sébastien,4.5,5.0,Romantique||Luxueux,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Navette aéroport||Salle de réception||Spa||Station de recharge pour véhicules électriques||Service de voiturier||Wi-Fi||Serviettes de plage/piscine||Piscine réservée aux adultes||Piscine intérieure||Piscine chauffée||Petit-bain||Vestiaires du spa/centre de remise en forme||Sauna||Bar/lounge||Café||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Café soluble offert||Boisson de bienvenue offerte||Salle à manger extérieure||Vin/champagne||Service d'autobus||Service de taxi||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Hammam||Massage de la tête||Piscine d'eau de source||Massage||Massage du cou||Bain de vapeur||Réservé aux adultes||Terrasse sur le toit||Stockage des bagages||Concierge||Journal||Hôtel non-fumeurs||Mobilier d'extérieur||Parasols||Parasol||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Rideaux occultants||Chambres insonorisées||Climatisation||Bureau||Cafetière/théière||TV par câble/satellite||Lits extra longs||Bidet||Peignoirs||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Coin salon||Canapé||Téléphone||Penderie/armoire||Eau en bouteille||Penderie||Salles de bain privatives||Service de réveil/réveil-matin||Minibar||Bouilloire électrique||Télévision à écran plat||Radio||Douche à l'italienne||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur l'océan||Chambres non-fumeurs||Suites||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Navette aéroport||Salle de réception||Spa||Station de recharge pour véhicules électriques||Service de voiturier||Wi-Fi||Serviettes de plage/piscine||Piscine réservée aux adultes||Piscine intérieure||Piscine chauffée||Petit-bain||Vestiaires du spa/centre de remise en forme||Sauna||Bar/lounge||Café||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Café soluble offert||Boisson de bienvenue offerte||Salle à manger extérieure||Vin/champagne||Service d'autobus||Service de taxi||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Hammam||Massage de la tête||Piscine d'eau de source||Massage||Massage du cou||Bain de vapeur||Réservé aux adultes||Terrasse sur le toit||Stockage des bagages||Concierge||Journal||Hôtel non-fumeurs||Mobilier d'extérieur||Parasols||Parasol||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Rideaux occultants||Chambres insonorisées||Climatisation||Bureau||Cafetière/théière||TV par câble/satellite||Lits extra longs||Bidet||Peignoirs||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Coin salon||Canapé||Téléphone||Penderie/armoire||Eau en bouteille||Penderie||Salles de bain privatives||Service de réveil/réveil-matin||Minibar||Bouilloire électrique||Télévision à écran plat||Radio||Douche à l'italienne||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur l'océan||Chambres non-fumeurs||Suites
Relais & Chateaux Flocons de Sel,https://www.tripadvisor.fr/Hotel_Review-g187266-d1488438-Reviews-Relais_Chateaux_Flocons_de_Sel-Megeve_Haute_Savoie_Auvergne_Rhone_Alpes.html,"1775 route du Leutaz, 74120 Megève France",467,1 sur 38,Megève  ,France  ,Europe||France||Auvergne-Rhône-Alpes||Haute-Savoie||Megève,5.0,4.5,Luxueux||Romantique,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Restaurant||Salle de jeux||Ski||Babysitting||Wi-Fi||Piscine intérieure||Piscine chauffée||Sauna||Petit-déjeuner dans la chambre||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Service d'autobus||Salle de réception||Salles de réunion||Spa||Hammam||Massage||Stockage des bagages||Concierge||Journal||Hôtel non-fumeurs||Service de majordome||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Peignoirs||Service en chambre||Coffre-fort||Téléphone||Service de réveil/réveil-matin||Minibar||Télévision à écran plat||Baignoire/douche||Station d'accueil pour iPod||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Restaurant||Salle de jeux||Ski||Babysitting||Wi-Fi||Piscine intérieure||Piscine chauffée||Sauna||Petit-déjeuner dans la chambre||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Service d'autobus||Salle de réception||Salles de réunion||Spa||Hammam||Massage||Stockage des bagages||Concierge||Journal||Hôtel non-fumeurs||Service de majordome||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Peignoirs||Service en chambre||Coffre-fort||Téléphone||Service de réveil/réveil-matin||Minibar||Télévision à écran plat||Baignoire/douche||Station d'accueil pour iPod||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs||Suites||Chambres familiales
Club Med Vittel Ermitage - France,https://www.tripadvisor.fr/Hotel_Review-g196617-d669118-Reviews-Club_Med_Vittel_Ermitage_France-Vittel_Vosges_Grand_Est.html,"Bp 59 Vittel Cedex, 88802 Vittel France",110,2 sur 5,Vittel  ,France  ,Europe||France||Grand Est||Vosges||Vittel,4.5,4.0,Superbe vue,Parking||Internet haut débit gratuit (Wi-Fi)||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Personnel en charge du divertissement||Divertissements le soir||Navette aéroport||Salles de conférence||Wi-Fi||Sauna||Restaurant||Buffet de petit-déjeuner||Service d'autobus||Salle de réception||Salles de réunion||Soins du visage||Stockage des bagages||Concierge||Change des devises||Nettoyage à sec||Service de blanchisserie||Balcon privé||Coffre-fort||Télévision à écran plat||Parking||Internet haut débit gratuit (Wi-Fi)||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Personnel en charge du divertissement||Divertissements le soir||Navette aéroport||Salles de conférence||Wi-Fi||Sauna||Restaurant||Buffet de petit-déjeuner||Service d'autobus||Salle de réception||Salles de réunion||Soins du visage||Stockage des bagages||Concierge||Change des devises||Nettoyage à sec||Service de blanchisserie||Balcon privé||Coffre-fort||Télévision à écran plat
Relais & Chateaux - Hostellerie de Levernois,https://www.tripadvisor.fr/Hotel_Review-g666636-d232357-Reviews-Relais_Chateaux_Hostellerie_de_Levernois-Levernois_Cote_d_Or_Bourgogne_Franche_Comte.html,"Rue du Golf, 21200 Levernois France",293,1 sur 3,Levernois  ,France  ,Europe||France||Bourgogne-Franche-Comté||Côte d'Or||Levernois,5.0,5.0,Superbe vue||Calme,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Bar/lounge||Vélos disponibles||Randonnée||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Salle de réception||Station de recharge pour véhicules électriques||Parking sécurisé||Wi-Fi||Restaurant||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Équitation||Salles de réunion||Massage||Stockage des bagages||Concierge||Journal||Hôtel non-fumeurs||Boutiques||Nettoyage à sec||Service de blanchisserie||Service de repassage||Peignoirs||Climatisation||Bureau||Balcon privé||Service en chambre||Minibar||Télévision à écran plat||Baignoire/douche||Coffre-fort||Téléphone||Eau en bouteille||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Bar/lounge||Vélos disponibles||Randonnée||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Salle de réception||Station de recharge pour véhicules électriques||Parking sécurisé||Wi-Fi||Restaurant||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Équitation||Salles de réunion||Massage||Stockage des bagages||Concierge||Journal||Hôtel non-fumeurs||Boutiques||Nettoyage à sec||Service de blanchisserie||Service de repassage||Peignoirs||Climatisation||Bureau||Balcon privé||Service en chambre||Minibar||Télévision à écran plat||Baignoire/douche||Coffre-fort||Téléphone||Eau en bouteille||Chambres non-fumeurs||Suites||Chambres familiales
Triple Creek Ranch,https://www.tripadvisor.fr/Hotel_Review-g45139-d78976-Reviews-Triple_Creek_Ranch-Darby_Montana.html,"5551 W Fork Rd, Darby, MT 59829-9613",334,1 sur 10,Hôtels Darby  ,Montana (MT)  ,États-Unis||Montana(MT)||Darby||Hôtels Darby,5.0,4.5,Joyau caché,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Location de vélos||Randonnée||Navette aéroport||Wi-Fi||Jacuzzi||Piscine chauffée||Sauna||Bar/lounge||Restaurant||Équitation||Court de tennis||Pêche||Centre d'affaires avec accès Internet||Stockage des bagages||Concierge||Boutique de cadeaux||Hôtel non-fumeurs||Service de blanchisserie||Climatisation||Cheminée||Service en chambre||Coffre-fort||Kitchenette||Minibar||Réfrigérateur||Télévision à écran plat||Chambres non-fumeurs||Suites||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Location de vélos||Randonnée||Navette aéroport||Wi-Fi||Jacuzzi||Piscine chauffée||Sauna||Bar/lounge||Restaurant||Équitation||Court de tennis||Pêche||Centre d'affaires avec accès Internet||Stockage des bagages||Concierge||Boutique de cadeaux||Hôtel non-fumeurs||Service de blanchisserie||Climatisation||Cheminée||Service en chambre||Coffre-fort||Kitchenette||Minibar||Réfrigérateur||Télévision à écran plat||Chambres non-fumeurs||Suites
Blue Margouillat Seaview Hotel,https://www.tripadvisor.fr/Hotel_Review-g970102-d949960-Reviews-Blue_Margouillat_Seaview_Hotel-Saint_Leu_Arrondissement_of_Saint_Paul.html,"6 Impasse Jean Albany, Saint-Leu 97436 Ile de La Réunion",273,1 sur 3,Saint-Leu  ,Ile de La Réunion  ,Afrique||Ile de La Réunion||Arrondissement de Saint-Paul||Saint-Leu,4.5,4.0,Superbe vue,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Bar côté piscine||Navette aéroport||Massage corporel complet||Concierge||Hôtel non-fumeurs||Wi-Fi||Piscine extérieure||Piscine chauffée||Restaurant||Petit-déjeuner dans la chambre||Nettoyage à sec||Service de blanchisserie||Chambres insonorisées||Climatisation||Balcon privé||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Vue sur l'océan||Chambres non-fumeurs||Suites||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Bar côté piscine||Navette aéroport||Massage corporel complet||Concierge||Hôtel non-fumeurs||Wi-Fi||Piscine extérieure||Piscine chauffée||Restaurant||Petit-déjeuner dans la chambre||Nettoyage à sec||Service de blanchisserie||Chambres insonorisées||Climatisation||Balcon privé||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Vue sur l'océan||Chambres non-fumeurs||Suites
Hôtel Boucan Canot,https://www.tripadvisor.fr/Hotel_Review-g298470-d585445-Reviews-Hotel_Boucan_Canot-Saint_Gilles_Les_Bains_Arrondissement_of_Saint_Paul.html,"32, Rue de Boucan Canot, Saint-Gilles-Les-Bains 97434 Ile de La Réunion",161,2 sur 21,Saint-Gilles-Les-Bains  ,Ile de La Réunion  ,Afrique||Ile de La Réunion||Arrondissement de Saint-Paul||Saint-Gilles-Les-Bains,4.5,4.0,Superbe vue,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Petit-déjeuner inclus||Plage||Plongée avec masque et tuba||Navette aéroport||Centre d'affaires avec accès Internet||Wi-Fi||Piscine extérieure||Bar/lounge||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Snack-bar||Menus spéciaux||Bar côté piscine||Salles de conférence||Salle de réception||Massage||Stockage des bagages||Concierge||Journal||Réception 24 heures sur 24||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Service de repassage||Chambres insonorisées||Climatisation||Balcon privé||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Vue sur l'océan||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Petit-déjeuner inclus||Plage||Plongée avec masque et tuba||Navette aéroport||Centre d'affaires avec accès Internet||Wi-Fi||Piscine extérieure||Bar/lounge||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Snack-bar||Menus spéciaux||Bar côté piscine||Salles de conférence||Salle de réception||Massage||Stockage des bagages||Concierge||Journal||Réception 24 heures sur 24||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Service de repassage||Chambres insonorisées||Climatisation||Balcon privé||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Vue sur l'océan||Chambres non-fumeurs||Suites||Chambres familiales
"Domaine De La Bretesche, Golf & Spa",https://www.tripadvisor.fr/Hotel_Review-g780696-d289781-Reviews-Domaine_De_La_Bretesche_Golf_Spa-Missillac_Loire_Atlantique_Pays_de_la_Loire.html,"Domaine De La Bretesche, 44780 Missillac France",201,1 sur 2,Missillac  ,France  ,Europe||France||Pays de la Loire||Loire-Atlantique||Missillac,4.5,3.0,Superbe vue,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Location de vélos||Vélos disponibles||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Wi-Fi||Piscine intérieure||Piscine extérieure||Piscine chauffée||Sauna||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Terrain de golf||Randonnée||Court de tennis||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Soins du visage||Massage corporel complet||Massage||Stockage des bagages||Concierge||Boutique de cadeaux||Journal||Hôtel non-fumeurs||Boutiques||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Chambres insonorisées||Climatisation||Service de ménage||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Location de vélos||Vélos disponibles||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Wi-Fi||Piscine intérieure||Piscine extérieure||Piscine chauffée||Sauna||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Terrain de golf||Randonnée||Court de tennis||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Soins du visage||Massage corporel complet||Massage||Stockage des bagages||Concierge||Boutique de cadeaux||Journal||Hôtel non-fumeurs||Boutiques||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Chambres insonorisées||Climatisation||Service de ménage||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales
Holiday Village Pont Royal en Provence,https://www.tripadvisor.fr/Hotel_Review-g187209-d290326-Reviews-Holiday_Village_Pont_Royal_en_Provence-Aix_en_Provence_Bouches_du_Rhone_Provence_Alpes_.html,"Route de Charleval, 13370, Aix-en-Provence France",93,42 sur 72,Aix-en-Provence  ,France  ,Europe||France||Provence-Alpes-Côte d'Azur||Bouches-du-Rhone||Aix-en-Provence,3.5,3.0,Superbe vue||Intermédiaire,Parking privé payant sur site||Internet gratuit||Piscine||Bar/lounge||Terrain de golf||Minigolf||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Wi-Fi||Wi-Fi payant||Piscine extérieure||Piscine chauffée||Restaurant||Buffet de petit-déjeuner||Court de tennis||Parc aquatique||Ping-pong||Clubs pour enfants||Équipements de jeux pour enfants en plein air||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Salles de conférence||Salle de réception||Salles de réunion||Boutiques||Service de blanchisserie||Blanchisserie en libre-service||Balcon privé||Coffre-fort||Kitchenette||Micro-ondes||Réfrigérateur||Ustensiles de cuisine||Chambres non-fumeurs||Chambres familiales||Parking privé payant sur site||Internet gratuit||Piscine||Bar/lounge||Terrain de golf||Minigolf||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Wi-Fi||Wi-Fi payant||Piscine extérieure||Piscine chauffée||Restaurant||Buffet de petit-déjeuner||Court de tennis||Parc aquatique||Ping-pong||Clubs pour enfants||Équipements de jeux pour enfants en plein air||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Salles de conférence||Salle de réception||Salles de réunion||Boutiques||Service de blanchisserie||Blanchisserie en libre-service||Balcon privé||Coffre-fort||Kitchenette||Micro-ondes||Réfrigérateur||Ustensiles de cuisine||Chambres non-fumeurs||Chambres familiales
